
Host: connor-LIFEBOOK-T937

Timers On : Thu Aug 17 14:53:39 2023
Timers Off: Thu Aug 17 14:55:08 2023

Wall Time:       88.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: AO2USO                        :      0.033u      0.000s      0.000w    124 calls
HF: Form F                          :      0.683u      0.417s      0.159w    124 calls
HF: Form D                          :      0.083u      0.000s      0.028w    124 calls
HF: DIIS                            :      5.300u      1.983s      1.168w    120 calls
HF: Form C                          :      2.133u      0.167s      0.337w    120 calls
Grad: V T Perturb                   :      1.383u      0.483s      0.295w     12 calls
Grad: S                             :      0.250u      0.167s      0.063w     12 calls
Grad: JK                            :     96.583u     12.850s     18.283w     12 calls
| JKGrad: Amn                       :     21.267u      5.300s      4.090w     12 calls
| | Libint2ERI::Libint2ERI          :      2.250u      2.383s      0.725w     12 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     12 calls
| JKGrad: AB                        :     24.283u      1.950s      5.151w     12 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.217s      0.074w     96 calls
| JKGrad: UV                        :      1.767u      0.183s      0.586w     12 calls
| JKGrad: ABx                       :      3.367u      0.233s      0.567w     12 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w     12 calls
| JKGrad: Amnx                      :     45.283u      4.050s      7.578w     12 calls
| | Libint2ERI::Libint2ERI          :      1.817u      2.000s      0.596w     12 calls
Grad: XC                            :      0.000u      0.000s      0.000w     12 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.750u      0.650s      0.259w      1 calls
Hess: T                             :      0.050u      0.050s      0.013w      1 calls
Hess: S                             :      0.033u      0.033s      0.010w      1 calls
Hess: JK                            :   1793.783u    331.117s    538.625w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.019w     10 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.016w     10 calls
JK: D                               :      0.333u      0.033s      0.062w     15 calls
JK: USO2AO                          :      0.033u      0.017s      0.005w     15 calls
JK: JK                              :    245.600u     55.517s     46.532w     15 calls
| DFH: compute_JK()                 :    245.450u     55.517s     46.517w     15 calls
| | DFH: Grabbing AOs               :      0.017u      0.000s      0.000w     15 calls
| | DFH: compute_J                  :     22.917u      9.750s      5.067w     15 calls
| | DFH: compute_K                  :    221.683u     44.383s     41.093w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Fri Aug 18 15:24:54 2023
Timers Off: Fri Aug 18 15:36:04 2023

Wall Time:      669.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.183u      0.000s      0.080w      4 calls
Libint2ERI::Libint2ERI              :      1.100u      0.967s      0.374w     71 calls
DFH: initialize()                   :     15.417u      1.867s      3.073w      4 calls
DFH: AO Construction                :      4.717u      0.167s      0.767w      4 calls
DFH: AO-Met. Contraction            :      2.283u      0.150s      0.403w      4 calls
HF: Form core H                     :      0.317u      0.167s      0.085w      3 calls
HF: Form S/X                        :      0.017u      0.033s      0.011w      3 calls
HF: Guess                           :      1.983u      1.900s      0.635w      3 calls
SAD Guess                           :      1.933u      1.900s      0.622w      3 calls
HF: Form G                          :      4.833u      1.133s      0.935w     27 calls
JK: D                               :      0.217u      0.033s      0.038w     42 calls
JK: USO2AO                          :      0.067u      0.000s      0.003w     42 calls
JK: JK                              :    234.867u     51.483s     45.190w     42 calls
DFH: compute_JK()                   :    234.833u     51.467s     45.181w     42 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     42 calls
DFH: compute_J                      :     23.600u      9.867s      5.259w     42 calls
DFH: compute_K                      :    210.550u     41.000s     39.726w     42 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w     42 calls
HF: Form F                          :      0.050u      0.033s      0.022w     27 calls
HF: Form D                          :      0.067u      0.017s      0.005w     27 calls
HF: DIIS                            :      1.450u      1.000s      0.384w     24 calls
HF: Form C                          :      0.300u      0.033s      0.052w     24 calls
Grad: V T Perturb                   :      0.083u      0.033s      0.017w      1 calls
Grad: S                             :      0.033u      0.000s      0.006w      1 calls
Grad: JK                            :      7.250u      0.900s      1.431w      1 calls
JKGrad: Amn                         :      1.667u      0.417s      0.327w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      1.900u      0.183s      0.392w      1 calls
JKGrad: UV                          :      0.117u      0.017s      0.044w      1 calls
JKGrad: ABx                         :      0.250u      0.033s      0.044w      1 calls
JKGrad: Amnx                        :      3.233u      0.150s      0.582w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.683u      0.700s      0.252w      1 calls
Hess: T                             :      0.033u      0.033s      0.010w      1 calls
Hess: S                             :      0.017u      0.017s      0.005w      1 calls
Hess: JK                            :   1802.750u    352.067s    545.007w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.000s      0.080w      4 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.050w      4 calls
DFH: initialize()                   :     15.417u      1.867s      3.073w      4 calls
| Libint2ERI::Libint2ERI            :      0.600u      0.683s      0.200w     36 calls
| DFH: AO Construction              :      4.717u      0.167s      0.767w      4 calls
| DFH: AO-Met. Contraction          :      2.283u      0.150s      0.403w      4 calls
HF: Form core H                     :      0.317u      0.167s      0.085w      3 calls
HF: Form S/X                        :      0.017u      0.033s      0.011w      3 calls
HF: Guess                           :      1.983u      1.900s      0.635w      3 calls
| SAD Guess                         :      1.933u      1.900s      0.622w      3 calls
HF: Form G                          :      4.833u      1.133s      0.935w     27 calls
| JK: D                             :      0.017u      0.000s      0.002w     27 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     27 calls
| JK: JK                            :      4.400u      1.067s      0.864w     27 calls
| | DFH: compute_JK()               :      4.400u      1.067s      0.864w     27 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     27 calls
| | | DFH: compute_J                :      0.817u      0.317s      0.181w     27 calls
| | | DFH: compute_K                :      3.233u      0.433s      0.577w     27 calls
| JK: AO2USO                        :      0.017u      0.000s      0.000w     27 calls
HF: Form F                          :      0.050u      0.033s      0.022w     27 calls
HF: Form D                          :      0.067u      0.017s      0.005w     27 calls
HF: DIIS                            :      1.450u      1.000s      0.384w     24 calls
HF: Form C                          :      0.300u      0.033s      0.052w     24 calls
Grad: V T Perturb                   :      0.083u      0.033s      0.017w      1 calls
Grad: S                             :      0.033u      0.000s      0.006w      1 calls
Grad: JK                            :      7.250u      0.900s      1.431w      1 calls
| JKGrad: Amn                       :      1.667u      0.417s      0.327w      1 calls
| | Libint2ERI::Libint2ERI          :      0.200u      0.183s      0.064w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      1.900u      0.183s      0.392w      1 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.017s      0.004w      8 calls
| JKGrad: UV                        :      0.117u      0.017s      0.044w      1 calls
| JKGrad: ABx                       :      0.250u      0.033s      0.044w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :      3.233u      0.150s      0.582w      1 calls
| | Libint2ERI::Libint2ERI          :      0.083u      0.067s      0.025w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.683u      0.700s      0.252w      1 calls
Hess: T                             :      0.033u      0.033s      0.010w      1 calls
Hess: S                             :      0.017u      0.017s      0.005w      1 calls
Hess: JK                            :   1802.750u    352.067s    545.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.015w     10 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.016w     10 calls
JK: D                               :      0.200u      0.033s      0.036w     15 calls
JK: USO2AO                          :      0.067u      0.000s      0.003w     15 calls
JK: JK                              :    230.467u     50.417s     44.326w     15 calls
| DFH: compute_JK()                 :    230.433u     50.400s     44.317w     15 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     15 calls
| | DFH: compute_J                  :     22.783u      9.550s      5.078w     15 calls
| | DFH: compute_K                  :    207.317u     40.567s     39.148w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Fri Aug 18 17:08:43 2023
Timers Off: Fri Aug 18 17:09:17 2023

Wall Time:       34.29 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:06 2023
Timers Off: Mon Aug 21 12:48:07 2023

Wall Time:        0.85 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:07 2023
Timers Off: Mon Aug 21 12:48:07 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:07 2023
Timers Off: Mon Aug 21 12:48:08 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:08 2023
Timers Off: Mon Aug 21 12:48:08 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:09 2023
Timers Off: Mon Aug 21 12:48:09 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:09 2023
Timers Off: Mon Aug 21 12:48:10 2023

Wall Time:        0.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:10 2023
Timers Off: Mon Aug 21 12:48:10 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:10 2023
Timers Off: Mon Aug 21 12:48:11 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:11 2023
Timers Off: Mon Aug 21 12:48:11 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:11 2023
Timers Off: Mon Aug 21 12:48:12 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:12 2023
Timers Off: Mon Aug 21 12:48:12 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:12 2023
Timers Off: Mon Aug 21 12:48:13 2023

Wall Time:        0.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:13 2023
Timers Off: Mon Aug 21 12:48:13 2023

Wall Time:        0.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:13 2023
Timers Off: Mon Aug 21 12:48:14 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:14 2023
Timers Off: Mon Aug 21 12:48:14 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:15 2023
Timers Off: Mon Aug 21 12:48:15 2023

Wall Time:        0.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:15 2023
Timers Off: Mon Aug 21 12:48:16 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:16 2023
Timers Off: Mon Aug 21 12:48:16 2023

Wall Time:        0.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:16 2023
Timers Off: Mon Aug 21 12:48:17 2023

Wall Time:        0.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Mon Aug 21 12:48:17 2023
Timers Off: Mon Aug 21 12:48:17 2023

Wall Time:        0.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Tue Aug 22 09:02:12 2023
Timers Off: Tue Aug 22 09:02:13 2023

Wall Time:        0.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Tue Aug 22 09:02:31 2023
Timers Off: Tue Aug 22 09:02:31 2023

Wall Time:        0.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: connor-LIFEBOOK-T937

Timers On : Tue Aug 22 09:02:40 2023
Timers Off: Tue Aug 22 09:04:44 2023

Wall Time:      124.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.750u      0.000s      0.467w     18 calls
Libint2ERI::Libint2ERI              :      8.817u      0.233s      1.717w    234 calls
DFH: initialize()                   :     85.350u      1.500s     15.788w     18 calls
DFH: AO Construction                :     29.167u      0.167s      4.654w     18 calls
DFH: AO-Met. Contraction            :     16.383u      0.067s      2.631w     18 calls
HF: Form core H                     :      1.667u      0.067s      0.287w     18 calls
HF: Form S/X                        :      0.117u      0.017s      0.025w     18 calls
HF: Guess                           :      0.450u      0.000s      0.068w     18 calls
SAD Guess                           :      0.400u      0.000s      0.064w      1 calls
HF: Form G                          :     33.783u      1.000s      5.753w    155 calls
JK: D                               :      0.033u      0.000s      0.006w    155 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w    155 calls
JK: JK                              :     33.417u      1.000s      5.729w    155 calls
DFH: compute_JK()                   :     33.417u      1.000s      5.726w    155 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    155 calls
DFH: compute_J                      :      6.250u      0.033s      1.174w    155 calls
DFH: compute_K                      :     23.950u      0.417s      3.992w    155 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w    155 calls
HF: Form F                          :      0.200u      0.000s      0.050w    155 calls
HF: Form D                          :      0.017u      0.000s      0.004w    155 calls
HF: DIIS                            :      5.233u      0.200s      1.066w    154 calls
HF: Form C                          :      1.450u      0.000s      0.236w    154 calls
Grad: V T Perturb                   :      1.667u      0.017s      0.285w     18 calls
Grad: S                             :      0.167u      0.033s      0.045w     18 calls
Grad: JK                            :    184.950u      3.967s     34.668w     18 calls
JKGrad: Amn                         :     39.783u      1.133s      6.692w     18 calls
JKGrad: Awmn                        :      0.017u      0.000s      0.000w     18 calls
JKGrad: AB                          :     42.717u      1.133s      9.850w     18 calls
JKGrad: UV                          :      6.100u      0.567s      1.995w     18 calls
JKGrad: ABx                         :      6.583u      0.067s      1.169w     18 calls
JKGrad: Amnx                        :     88.533u      0.800s     14.710w     18 calls
Grad: XC                            :      0.000u      0.000s      0.000w     18 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.750u      0.000s      0.467w     18 calls
| Libint2ERI::Libint2ERI            :      0.467u      0.000s      0.299w     18 calls
DFH: initialize()                   :     85.350u      1.500s     15.788w     18 calls
| Libint2ERI::Libint2ERI            :      2.317u      0.100s      0.402w     90 calls
| DFH: AO Construction              :     29.167u      0.167s      4.654w     18 calls
| DFH: AO-Met. Contraction          :     16.383u      0.067s      2.631w     18 calls
HF: Form core H                     :      1.667u      0.067s      0.287w     18 calls
HF: Form S/X                        :      0.117u      0.017s      0.025w     18 calls
HF: Guess                           :      0.450u      0.000s      0.068w     18 calls
| SAD Guess                         :      0.400u      0.000s      0.064w      1 calls
HF: Form G                          :     33.783u      1.000s      5.753w    155 calls
| JK: D                             :      0.033u      0.000s      0.006w    155 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w    155 calls
| JK: JK                            :     33.417u      1.000s      5.729w    155 calls
| | DFH: compute_JK()               :     33.417u      1.000s      5.726w    155 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    155 calls
| | | DFH: compute_J                :      6.250u      0.033s      1.174w    155 calls
| | | DFH: compute_K                :     23.950u      0.417s      3.992w    155 calls
| JK: AO2USO                        :      0.017u      0.000s      0.000w    155 calls
HF: Form F                          :      0.200u      0.000s      0.050w    155 calls
HF: Form D                          :      0.017u      0.000s      0.004w    155 calls
HF: DIIS                            :      5.233u      0.200s      1.066w    154 calls
HF: Form C                          :      1.450u      0.000s      0.236w    154 calls
Grad: V T Perturb                   :      1.667u      0.017s      0.285w     18 calls
Grad: S                             :      0.167u      0.033s      0.045w     18 calls
Grad: JK                            :    184.950u      3.967s     34.668w     18 calls
| JKGrad: Amn                       :     39.783u      1.133s      6.692w     18 calls
| | Libint2ERI::Libint2ERI          :      2.933u      0.050s      0.491w     18 calls
| JKGrad: Awmn                      :      0.017u      0.000s      0.000w     18 calls
| JKGrad: AB                        :     42.717u      1.133s      9.850w     18 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.033s      0.044w     72 calls
| JKGrad: UV                        :      6.100u      0.567s      1.995w     18 calls
| JKGrad: ABx                       :      6.583u      0.067s      1.169w     18 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.009w     18 calls
| JKGrad: Amnx                      :     88.533u      0.800s     14.710w     18 calls
| | Libint2ERI::Libint2ERI          :      2.833u      0.050s      0.473w     18 calls
Grad: XC                            :      0.000u      0.000s      0.000w     18 calls

**************************************************************************************
